,Unnamed: 0,issuekey,title,description,storypoint,project
16515,18126,XD-3548,port shell as scs processor,as a spring xd developer id like to port shell module from xd to scs repo so i can use it as processor module to build streaming pipeline,2,springxd
16516,18127,XD-3549,port splitter as scs processor,as a spring xd developer id like to port splitter module from xd to scs repo so i can use it as processor module to build streaming pipeline,2,springxd
16519,18130,XD-3554,spike destroy composed job,as an xd developer id like to explore options to remove composed job so i can cleanup unused resources and memory footprints,8,springxd
16520,18131,XD-3555,spike store dsl definition in zk,as an xd developer id like to explore options to save composed job definition in zk metadata so i can use the repository to recreate jobs to recover from failure scenarios,5,springxd
16527,18138,XD-3563,create binderfactory abstraction,as a developer i want to have a binderfactory abstraction so that i can support multiple binder types in the future,5,springxd
16528,18139,XD-3564,add support for registering multiple binderfactories,as a developer i want to be able to connect to multiple types of transports in an application so that i can receive and send messages to different transport types,5,springxd
16529,18140,XD-3565,add support for multiple binders per binder type,as a developer i want to be able to connect to multiple external systems for the same binding type so that i can read data from a system and write it to another,5,springxd
16533,18144,XD-3569,resourcemoduleregistry doesnt support ha namenode for hdfs custom module location,as an xd module developer i would like to use hdfs for my custom module location even when my namenode is configured for ha we had an issue filed in the springxdambari project it seems like custom module doesnt pickup namenode ha and still use namenodeproxiescreatenonhaproxy see,3,springxd
16535,18146,XD-3571,port cassandra as scs sink,as a spring xd developer id like to move cassandra module from xd to scs repo so i can use it as sink to build streaming pipeline,5,springxd
16536,18147,XD-3572,port analyticpmml as scs processor,as a spring xd developer id like to port analyticpmml module from xd to scs repo so i can use it as processor module to build streaming pipeline,5,springxd
16537,18148,XD-3573,include jobcomposition flag in rest endpoint,as an xd user id like to have a rest endpoint that returns job composition flag so i can use it to differentiate visual representation between parentchild relationship and standalone jobs,2,springxd
16538,18149,XD-3574,include jobcomposition graph in rest endpoint,as an xd user id like to have a rest endpoint that returns job composition graph so i can use it to build visual representation of parentchild relationship,3,springxd
16539,18150,XD-3575,add visual representation of job workflow in executions list page,as an xd user id like to be able to visually differentiate between jobcomposition workflow and single job,5,springxd
16540,18151,XD-3576,add support to retrieve job details,as an xd user id like to click to go the detail page of the job page whether or not the selected entity is singular or part of a composed job,5,springxd
16541,18152,XD-3577,compute progress information for job composition,as an xd user id like to see an aggregated progress bar for a job that is embeds multiple jobs within itself,3,springxd
16542,18153,XD-3578,add support to restart job composition,as an xd user id like have support restart an existing composed job so i could relaunch it at will,1,springxd
16543,18154,XD-3579,spike explore integration options with kafka 09 release,as an scd developer id like to investigate integration options with the 09 release of kafka so i can identify areas of improvements,3,springxd
16544,18155,XD-3580,spike explore options to setup baremetal deployment of scd using lattice,as a scd developer id like to explore options to bootstrap and setup lattice based infrastructure for scds bare metal deployment,5,springxd
16545,18156,XD-3581,add support for tuple and json spel property accessors in springcloudstream,as a springcloudstream user id like to build stream definitions using dotdelimited syntax for resolving properties for tuple and json,3,springxd
16546,18157,XD-3582,add support for tab completion in shell,as an scd user id like to have tab completion on shell so i can interact with the modules and its available options,8,springxd
16547,18158,XD-3583,implement mesos spi,as an scd user id like to deploy scd on mesos,2,springxd
16549,18160,XD-3585,move redis rule to a separate repo,as an scd developer id like to move redis rule to a separate repo so i can consume the test fixtures in different projects,1,springxd
16550,18161,XD-3586,move kafka rule to a separate repo,as an scd developer id like to move kafka rule to a separate repo so i can consume the test fixtures in different projects,1,springxd
16551,18162,XD-3587,move rabbit rule to a separate repo,as an scd developer id like to move rabbit rule to a separate repo so i can consume the test fixtures in different projects,1,springxd
16553,18164,XD-3590,fix datatype mismatch on adminui,as a xd developer id like to reproduce and fix anomalies as listed here,1,springxd
16554,18165,XD-3591,accessing admin rest apis on cf returns unexpected results,as an scd user im trying to access admin rest endpoints running on cf but im getting ssl authentication errors,1,springxd
16555,18166,XD-3592,harmonize rest features between deployment profiles,as an scd user id like to take advantage of admin running on variety of platforms such as lattice yarn or cf id like to access rest apis consistently across these platforms,5,springxd
16556,18167,XD-3593,add support to register artifacts as libraries,as a scdf user i want to be able to register artifacts as libraries so that i can reference them in include and exclude statements,2,springxd
16557,18168,XD-3594,add support for named channels,as an scd user id like to have the option to use _named channels_ so i can create streaming pipelines without source or sink modules,3,springxd
16558,18169,XD-3595,add test coverage for streamcontroller,as a scd developer id like to add test coverage for streamcontroller so i can verify api contracts at build time,3,springxd
16559,18170,XD-3596,prevent streams with duplicate name,as a scd user i should be prevented from creating streams with duplicate name id expect streams to have unique names all the time,1,springxd
16562,18173,XD-3599,add kinesis as scs source,as a scs user id like to use kinesis module so i can use it as source module to build streaming pipeline,2,springxd
16563,18174,XD-3600,add kinesis as scs sink,as a scs user id like to use kinesis module so i can use it as sink module to build streaming pipeline,2,springxd
16565,18176,XD-3602,port log as scs sink,as a developer id like to port log module from xd to scs repo so i can use it as sink modules to build streaming pipeline,2,springxd
16567,18178,XD-3605,port fieldvaluecounter as scs sink,as a developer id like to port fieldvaluecounter module from xd to scs repo so i can use it as sink module to build streaming pipeline,2,springxd
16568,18179,XD-3606,port aggregatecounter as scs sink,as a developer id like to port aggregatecounter module from xd to scs repo so i can use it as sink module to build streaming pipeline,2,springxd
16569,18180,XD-3607,port gauge as scs sink,as a developer id like to port gauge module from xd to scs repo so i can use it as sink module to build streaming pipeline,2,springxd
16570,18181,XD-3608,port richgauge as scs sink,as a developer id like to port richgauge module from xd to scs repo so i can use it as sink module to build streaming pipeline,2,springxd
16571,18182,XD-3609,spike study integration operations with flink,as a data scientist id like to have the option to process data using flink processor so i can take advantage of the streaming machine learning abstractions implemented on top of flink,5,springxd
16579,18191,XD-3618,add runtime info shell command,as a scd user id like to have runtime info as shell command so i can use this to list the details about the module such as host port and the like,5,springxd
16580,18192,XD-3619,study yarn spi gaps,as a scd user id like to deploy data flow on yarn so i can reuse the existing hadoop cluster and leverage data flow features to build streaming or batch pipelines,2,springxd
16583,18195,XD-3622,port file as scs source,as a developer id like to port file module from xd to scs repo so i can use it as source module to build streaming pipeline,3,springxd
16585,18197,XD-3624,add support to build admin with individual spi deployers,as a scd developer id like to break the build lifecycle to bundle spi deployers individually so i dont have to build admin with all the deployer variations as one whole thing,8,springxd
16588,18200,XD-3627,get rid of xdruntimeexception,as a developer id like to get rid off xdruntimeexception from xd,1,springxd
16590,18202,XD-3629,turning on ha via ambari plugin requires custom configuration,as a user id like to enable ha on namenode without having to enable custom configuration more details here,3,springxd
16592,18204,XD-3631,upgrade gf sink to 82,as a user id like to use the latest release of gemfire sink so i can create a streaming pipeline to land data in gemfire,2,springxd
16593,18205,XD-3633,add sftp source to default registry,as a user id like to use sftp source module so i can create streaming pipeline with it however i cannot see sftp as ootb module listed on module list and as well as the module bits are not available in maven repohttprepospringiolibssnapshotorgspringframeworkcloudstreammodule,1,springxd
16595,18207,XD-3635,resolve remaining gaps with ci,as a developer id like to resolve remaining gaps wrt ci pipelines for data flow and the family so i can continuously evaluate functionalities on every commit,8,springxd
16596,18208,XD-3636,add support for global options in dsl,as a flo user id like to have timeout and pollinterval as global options at the dsl level so i can override the defaults at will,1,springxd
16597,18209,XD-3637,upgrade to si 421,as a developer id like to upgrade to si 421 release so i can take advantage of the latest improvements,1,springxd
16601,18213,XD-3641,job composition improvements,as a developer id like to review and refactor joblaunchingtasklet so i can improve performance characteristics,3,springxd
16604,18216,XD-3644,add test coverage for batch dsl and xml generation variants,as a developer id like to enhance test coverage to capture dsl and xml generation variants,5,springxd
16608,18221,XD-3649,make spel usage consistent across all including custom modules,as a user id like to use spel expressions inline at the stream definition level so i can operate on the payload consistently while using any ootb including the custom modules,8,springxd
16609,18222,XD-3651,the jsonstringtotupleconverter converts all values to string,as a module developer i would like the jsonstringtotupleconverter in the spring cloud streams project to maintain the types provided in the json string and not convert everything to a string representation,1,springxd
16611,18224,XD-3653,admin ui does not load on master build,as a user i cannot use adminui on the master build it wont come up,2,springxd
16612,18225,XD-3654,documentation flo for xd batch,as a user id like to refer to job orchestration documentation so i can use it as guideline for building batch workflows,3,springxd
16613,18227,XD-3656,add undeployed status for yarn spi,as a developer id like to add undeployed status for yarn spi so i can represent the correct status instead of the current unknown state,3,springxd
16616,18230,XD-3659,create admin artifact for each hadoop distro,as a developer id like to split admin artifact packaged with hadoop distro specific libraries so i could avoid adding all variations of hadoop libraries under one project,5,springxd
16617,18231,XD-3660,create admin artifact and ci build for yarn,as a developer id like to create separate repo for yarn spi so i dont have to bundle all spi variants under one admin project,5,springxd
16618,18232,XD-3661,upgrade to lattice 060 release,as a developer id like to upgrade to 060 release of lattice so i can demonstrate data flow on the latest lattice improvements,5,springxd
16619,18233,XD-3662,ui replace xd with data flow,as a developer id like to replace all references of spring xd with spring cloud data flow,2,springxd
16620,18234,XD-3663,ui job modules page wouldnt load,as a user im trying to load job modules page in adminui but im seeing exceptions in console and the page wouldnt load code failed to convert value of type javalangstring to required type orgspringframeworkclouddataflowcoreartifacttype nested exception is orgspringframeworkcoreconvertconversionfailedexception failed to convert from type javalangstring to type orgspringframeworkwebbindannotationrequestparam orgspringframeworkclouddataflowcoreartifacttype for value job nested exception is javalangillegalargumentexception no enum constant orgspringframeworkclouddataflowcoreartifacttypejob code,2,springxd
16621,18235,XD-3664,ui replace job references with task,as a developer id like to replace all job references with task,2,springxd
16622,18236,XD-3665,ui task deployment page is not loading,as a user im trying to load task task deployment and task executions page but im seeing an error instead,1,springxd
16623,18237,XD-3666,ui spike study pui theming scope,as a user id like to use the adminui and flo with consistent look and feel,1,springxd
16624,18238,XD-3667,cf spi rest calls are not working,as a developer id like to troubleshoot and fix root level access over cf spi rest calls theyre broke at the moment access for following calls fail code href href href href href href code,1,springxd
16625,18239,XD-3668,ui add spi type and version to about section,as a user id like to see the version and spi type in the about section so i can confirm which build of adminui im currently using,1,springxd
16626,18240,XD-3669,add flo screenshots to batch dsl section,as a user id like flo graphs as screenshots while referring to the batch dsl so it will be easy for me to relate to concepts,1,springxd
16627,18241,XD-3670,spike revisit the core design and document gaps,as a developer id like to revisit the existing design and identify known limitations andor the gaps,5,springxd
16628,18242,XD-3671,spike explore options to scale modules from shell,as a user id like to have direct shell commands to scale updown a given module instance so i can avoid spi specific cli commands that needs run outside of data flow,5,springxd
16629,18243,XD-3672,move mesos spi to a separate repo,as a developer id like to submit a pr for existing work on mesos spi,2,springxd
16630,18244,XD-3673,multiple module instances produces duplicate messages,as a followup from xd3613 we would want to fix this experience for kafka message bus,5,springxd
16631,18245,XD-3674,create admin artifact and ci build for cf,as a developer id like to create separate repo for cf spi so i dont have to bundle all spi variants under one admin project,3,springxd
16632,18246,XD-3675,create admin artifact and ci build for lattice,as a developer id like to create separate repo for lattice spi so i dont have to bundle all spi variants under one admin project,3,springxd
16633,18247,XD-3676,create admin artifact and ci build for k8s,as a developer id like to create separate repo for k8s spi so i dont have to bundle all spi variants under one admin project,3,springxd
16634,18248,XD-3677,create admin artifact and ci build for mesos,as a developer id like to create separate repo for mesos spi so i dont have to bundle all spi variants under one admin project,3,springxd
16635,18249,XD-3678,add undeployed status for cf spi,as a developer id like to add undeployed status for cf spi so i can represent the correct status instead of the current unknown state,3,springxd
16636,18250,XD-3679,add undeployed status for lattice spi,as a developer id like to add undeployed status for lattice spi so i can represent the correct status instead of the current unknown state,3,springxd
16637,18251,XD-3680,add consistent support for undeployed state across the deployers,as a developer id like to add support for undeployed status consistently across all the deployers so i can present the correct status instead of the current unknown this is applicable for existing streams without any deployment context associated with it,1,springxd
16638,18252,XD-3681,add undeployed status for k8s spi,as a developer id like to add undeployed status for k8s spi so i can represent the correct status instead of the current unknown state,1,springxd
16639,18253,XD-3682,add undeployed status for mesos spi,as a developer id like to add undeployed status for mesos spi so i can represent the correct status instead of the current unknown state,3,springxd
16640,18254,XD-3683,fix composed job error message,as a user im trying to compose a job just with one definition however im getting the following error message which could be misinterpreted code xdjob create salsa definition timestampfile successfully created job salsa xdjob create foo definition salsa salsa successfully created job foo xdjob create foo222 definition salsa command failed orgspringframeworkxdrestclientimplspringxdexception could not find module with name salsa and type job code,1,springxd
16641,18255,XD-3684,job composition fails for large transitions,as a user im trying to create a composed job with 20 stepstransitions using rabbit as the message bus and it doesnt complete successfully,3,springxd
16645,18259,XD-3688,rabbit binder cleaner rest api,as a developer id like to be able to clean rabbit binder broker artifacts using the rest api when the rabbit bus was ported from xd the bus cleaner was ported as rabbitbindingcleaner but the rest api to invoke it was not ported over,2,springxd
16649,18263,XD-3692,optimize yarn deployer,as a developer id like to optimize yarn deployer so i can deploy stream and the modules part of the definition rapidly,5,springxd
16652,18266,XD-3695,upgrade to shdp 221ga,as a developer id like to upgrade to 221 ga release so i can leverage the latest improvements without breaking backwards compatibility shdp 230 uses boot 13 and hdp and cdh versions that drop older hive support to avoid breaking changes we should instead use shdp 221 that has backported any improvements that we need as well as move spring and hadoop versions to more recent ones,1,springxd
16653,18267,XD-3696,upgrade to si 422ga,as a developer id like to upgrade to si 422ga release so i can leverage the latest improvements,1,springxd
16655,18269,XD-3698,execution list page includes child jobs in pagination scope,as a user i created a composed job with over 10 child jobs in the workflow i expected to see a job in the execution list page without any pagination but instead i noticed empty pagination to skip to next page,1,springxd
16656,18270,XD-3699,remove hardcoded buildpack commit reference,as a developer id like to remove the hardcoded buildpack reference since the latest 162 er release includes all the features required by data flow,1,springxd
16659,18273,XD-3702,support partitioning for kafka even if count 1,as a developer i want to be able to set a partitioning key for the kafka bus even when there is a single downstream module so that i can take advantage of the native kafka partitioning and message ordering support,3,springxd
16662,18276,XD-3705,bump boot and springcloudbuild versions,as a developer id like to upgrade boot and spring cloud build revisions so i can leverage the latest updates,5,springxd
16663,18277,XD-3706,counter sink does not accept spel expressions,as a user im trying to use counter sink with spel expression but im not able to use them in combination it throws exactly one of name and nameexpression must be set as error message,1,springxd
16664,18278,XD-3707,job definitions request limits 20 results by default,as a user im trying to get all job definitions but the first 20 alone are returned job samples code job create aaa definition hello deploy job create bbb definition hello deploy job create ccc definition hello deploy job create ddd definition hello deploy job create eee definition hello deploy job create fff definition hello deploy job create ggg definition hello deploy job create hhh definition hello deploy job create iii definition hello deploy job create jjj definition hello deploy job create kkk definition hello deploy job create lll definition hello deploy job create mmm definition hello deploy job create nnn definition hello deploy job create ooo definition hello deploy job create ppp definition hello deploy job create qqq definition hello deploy job create rrr definition hello deploy job create sss definition hello deploy job create ttt definition hello deploy job create uuu definition hello deploy job create vvv definition hello deploy job create www definition hello deploy job create xxx definition hello deploy job create yyy definition hello deploy job create zzz definition hello deploy job create aaa1 definition hello deploy job create bbb1 definition hello deploy job create ccc1 definition hello deploy job create ddd1 definition hello deploy job create eee1 definition hello deploy code request httplocalhost9393jobsdefinitionsjson returns top 20 the other experiments with page size of either 0 or 1 still brings the top 20,1,springxd
16665,18279,XD-3708,document limitations with hsql when using composed jobs,as a developer id want to document the limitations of hsql db when using composed jobs,1,springxd
16671,18285,XD-3714,upgrade xd ambari release to 13,as a developer id like to upgrade spring xds ambari plugin to 13 release,3,springxd
16672,18286,XD-3715,move k8s spi to a separate repo,as a developer id like to move k8s spi to its own repo,5,springxd
16675,18289,XD-3718,kafka message bus must accept partitioning properties for named queues,as a user i want to be able to provide the partitioning logic for a named destination so that i can control the ordering of outbound messages,1,springxd
16689,18303,XD-3732,overrides to serversyml file arent taken into account,as a developer im adding new overrides to serveryml file however the overridden properties do not reflect even after the restart of server,2,springxd
16698,18312,XD-3741,flo stream creationdefinitions doesnt show any component,as a flo for spring xd user i would like to be able to create a new stream using the graphicat ui this flow should be shown in a graphical way also in definition tab httpexamplecomimagepng right now it doesnt happen due to a javascript error code typeerror thisnodegettransformtoelement is not a function at objectvelementbbox at jointdiaelementviewjointdiacellviewextendpositionrelative at null at httplocalhost9393adminuiliblodashlodashcompatjs117723 at eval 109 at functionforeach at jointdiaelementviewjointdiacellviewextendupdate at bound as update at jointdiaelementviewjointdiacellviewextendrender at jointdiapaperbackboneviewextendaddcell 9393adminuilibangularangularjs11500 9393attachmentnamejpgthumbnail code,1,springxd
16746,18361,TDQ-3228,add an export items item in the contextual menu of the repository,as a di user i would expect to have the same behaviour between tis and tdq for instance id like to have an export items item in the contextual menu of the repository to backup my tdq repo unfortunately this item doesnt exist and i have to find the related icon in the upper toolbar not so userfriendly and most of the di users dont find this icon as theyre used to rightclick export items can you please unify the userexperience and add the export items directly in the contextual menu of the dq repository this would help di users that switch to tdq to find the same behaviour in the data profiler perspective,5,talenddataquality
16825,18443,TDQ-4615,prepare dq portal migration script,as a user of the dq portal in previous version i will want to migrate my dq portal to the new version in order to keep of of my customizations done in the previous version,13,talenddataquality
17639,19462,TDQ-10734,support semantic discovery on file delimited,as a user i want to have the exact same semantic discovery menus on a table or a set of columns in a file delimited connection the behavior will be the same as on a database,8,talenddataquality
17880,19752,TESB-484,add a section in the gettingstarted guide how to use authentication policies sts,as a developer i want to learn how to secure my services and clients and how to take advantage of the cxf sts extend the rent a car demo to show how the service can be secured by the new authenication interceptor and the saml tokens provided by the sts and the existing cxf authentication inteceptor content what is an sts what is the advantage of having an sts compared to have to configure everything locally on clients and services a diagram about the flow between client sts and client provider what are artifacts that are exchanged describe how to install and run the sts if possible use the jetty maven plugin for this describe what has to be configured eg keystore describe what has to be configured on the client side service side and what the purpose is decribe how to deploy and run the demo describe how to uninstall the demo provide the necessary configuration files and extend the maven build to create artifacts usable for the demo for the tutorial use x509 certs best use the one already provided with the sts itself so it has not to be reconfigured server should return a saml 20 token note feature might involvet to male sure sts is really included in cxf 24 and to synchronize with dan acceptance criteria po or other person with similar background must be able to get the demo running within 15 minutes,3,talendesb
17884,19757,TESB-756,make talend esb runtime release ready,as a product owner i need to make sure we fulfill all legal obligations and have a reproducible build add coypright headers to all sources write license file write notice file write readme list of required thirdparty libraries and corresponding licences clean up of maven define all plugins used in the build in the root pom and make sure they all have version numbers for thirdparty dependencies define version numbers in the root pom,3,talendesb
17887,19760,TESB-764,getting started guide for talend esb,as a developer i want to learn the purpose of the rent a car demo and how to run it intro overview what to expect of this guide small architectural scetch what does the user learn about talend esb cxf how to compile the demo and deploy it into the osgi container how to run it what does the user see can do if everything works as expected copy paste as much as possible from swordfish demo outcome should be in docbook format h3 acceptance criteria the po or some other person with developer skills is able to get the demo running with the help of the guide,3,talendesb
17888,19761,TESB-766,user guide service locator,as a developer i want to learn how to enable the service locator component for the rent a car demo purpose of servicelocator what to additionaly deploy where to configure the additional feature where to learn how to install the locator server how to run what should the developer see outcome should be in docbook format,2,talendesb
17892,19768,TESB-1049,improve building of the rent a car demo for different scenarios,as a developer i want to be able to compile the rent a car demo for different scenarios without having to change the config files today only the basic rent a car demo can be compiled out of the box to compile more compley samples such as the locator sample the user has first to change the spring configurations of most of the rent a car projects before he can recompile it worse if he compiled another scenario before he has first to remove the specific configuration of the scenario before therefore enable the build to provide a way via maven profiles to compile the different scenarios without having to change source code or configuration without specifying a profile the the basic demo should be built specifying a profile locator should build the locator enabled demo the build system must be prepared to include further profiles for additional scenarios the jars created by different profiles must get scenario specific names eg crmserviceservicelocaor40jar h4 acceptance criteria i must be possible to first compile the basic rent a car demo with one maven command then without changing anything to compile with a second maven command the rent a car locator enabled sample,2,talendesb
17893,19769,TESB-1050,improve the getting started guide,as a developer i want to have a demo that is easy to follow and where the likelihood of success is very high incorporate glenns docbook improvements work on pos review remarks see attachments for details h4 some highlights compile of rent a car demo must possible in one step deploy sample to karaf by using feature descriptions and not copying each jar into the deploy dir distribute sample to at least two containers make locator sample more realistic by having several instances of the services describe how to enable the sample in eclipse h4 acceptance criteria po or other person with similar background must be able to get each demo running within 10 minutes,3,talendesb
17899,19776,TESB-1233,make tesb provider and consumer components compatible to new esb api,as a talend job developer i would like to deploy talend jobs in osgi container so that i could use other esb services at runtime,3,talendesb
17900,19777,TESB-1234,make sure tesb consumer component are working in tos,as a talend job developer i would like to use tesb consumer component in my jobs with tos so that my jobs would reuse other services as a talend enterprise job developer i would like to use tesbconsumer component in my jobs with tis using tis metadata repository so that i could reuse same metadata in multiple jobs,2,talendesb
17923,19811,TESB-1582,add support for those dbms in sam that are also supported by tac,as an operator i want to use sam in conjunction with talend administration console in the enterprise edition the sam server will most likely run in the same tomcat as the tac and the sam gui will run as part of tac therefor the plan is to use the tac database as the data base backend for the sam server tac supports the following dbms which should also be supported by sam h2 database engine oracle mysql sql server for all not yet supported dbms scripts for table creation must be created and the sam server must be tested using the corresponding dbms as preparation most probably also the dbms have to be installed somewhere we only need to support all the dbms in tomcat,8,talendesb
17927,19815,TESB-1586,provide a first load balancing strategy for the service locator,as an administrator i want to be able to specify a load balancing strategy for the service locator that distributes the load over equivalent providers implement a strategy that at the client side that for each request takes the next endpoint in the list of available endpoints it got from the service locator server after a configurable number of rounds the client must retrieve a new list of the available servers from the service locator server which strategy is choosen must be configurable,5,talendesb
17950,19840,TESB-2137,custom properties support for tesb components,as a data service developer i would like to add sl custom properties to my tesbprovider and sam custom properties for my tesbconsumer tesbresponse and tesbfault components we might need to use advanced tab for that property values should be dynamic job api should remain unchanged,8,talendesb
17951,19841,TESB-2138,display and filter on selected custom properties in sam ui in tac,as a monitoring administrator i would like to see custom properties in the sam table as well as filter based on values of custom properties assumptions since naming of custom properties is not strictly defined users should be able to enter custom property name one from the list of names already available in the database filtering should be also be supported for custom properties displayed in the table,3,talendesb
17952,19842,TESB-2139,sam ui visualization of cascading flows,as a monitoring user i would like to see flows that span across more than one service so that i could see information flow between related calls assumptions flow_id remains the same for multiple events most of the times the maximum number of participants will not exceed 10 elapsed time will be the difference between first and last even within one flow port type and operation will be based on the first event in the flow transport will be aggregated transports used across all flows,13,talendesb
17953,19843,TESB-2140,trestrequest and trestresponse components for rest support,as a data service designer i would like to use simple rest abstractions to share information from the database as a restfull resource assumptions need to use cxf support for 4 http verbs component should only concentrate on uri mapping not on the processing,8,talendesb
17954,19844,TESB-2141,automatic import of xml schemas from wsdl to metadata,as an data service designer with wsdlfirst approach i would like to use xml schemas from wsdl in my txmlmap components assumptions wsdl has an embedded xml schema with no external imports wsdl has only one xml schema element,8,talendesb
17962,19852,TESB-2219,support db2 for sam,as an operator i want to be able to use ibm db2 dbms for sam server provide db2 specific script for table creation test sam server together with db2 document in the sam user guide things specific to db2 primary version for testing db2 udb 91 seconday supported version db2 97 test os is linux even though customers might also run the db2 on aix and other operating systems,2,talendesb
17978,19870,TESB-2359,make jmx samples work and align it with the other samples,as a user i want to be able to sucessfully execute the jmx samples when i was trying to execute the jmx samples according to the readme i encountered a lot of problems see below for the problems i found general endpoint in simpleclient is wrong defined is httplocalhost8080servicessimpleservice but in reality the service has the endpoint httplocalhost8080simpleservicesimpleservice in the war file below webinfclasses there are again directories classes metainf and webinf they shuld be removed the jmx sample should be splitted in one cxf sample and in one camel sample both located directly under examplestalendtesb with two different readme that describe how to build and run them readme in general all steps should be described for windows and unix building the simpleservicewar instead of suggesting to add the catalina_opts property in some tomcat start script it should be described how to define it in the shell the user should not be forced to change his tomcat configuration step 2 war file is not found in target but simpleservicewartarget step 4 you first have to change in directory simpleservicebundle before executing mvn execjava step 4 you should configure the exec plugin with the main class in pomxml so user does not have to specify it explicitly using jconsole to find mbean attributes step 2 servicejmxrmijndirmilocalhost6969jmxrmi does not work here i stopped trying out the samples expectations make sure the readme is up to date and complete so anyone is able to run the samples the readme must equally well describe the windows case and the linux mac os x case split the cxfjmx and the cameljmx in two separate saples located directly under the examples directory for the cxf sample use the usual pattern for components in other samples _acceptance criteria_ po is able to execute the demos following the instructions in the readme,3,talendesb
17979,19871,TESB-2377,support for lifecycle events in sam,as an administrator i want to receive events when services data services and servers start and stop provide entries for the following events in karaf server starts stops cxf web service starts stops data service starts stops document the new events in the sam user guide this feature might include enhancing the database schema synchronize here with the tooling team as they also need to visualize the new lifecycle events chnages in the database schema also affects sql script which genrate the tables for the various dbms acceptance criteria manual test proves th life cycle events are generated,5,talendesb
17980,19872,TESB-2378,provide a soap based proxy service for the service locator,as an administrator i want to be able to use the service locator with non cxf clients and services the service must include the following operations register an endpoint for a specific service parameters fully qualified service name endpoint url user defined properties return void unregister an enpoint parameters fully qualified service name endpoint url return success or nonsuccess lookup all endpoints for a given service parameters fully qualified service name required user defined properties return list of wsaddressing eprs for all endpoints that provide the service and fullfil the required properties if none exists return business fault lookup one endpoint for a given service parameters fully qualified service name required user defined properties return one wsaddressing epr for an endpoint that provides the service and fullfils the required properties if several endpoints match select one randomly if none exists return business fault further outcome create a wsdl for the service and document it t is part of the delivery mention the soap service in the documentation and where to find the wsdl,5,talendesb
17981,19873,TESB-2384,create a sample project to demo the service locator proxy service,as a developer i want to know how the service locator proxy service is used create a simple sample that demontrates the usage of the service sample should be maven based also provide a readme that describes what to expect from the sample and how to execute it windows and linux mac os x acceptance criteria po is able to sucessfully execute the demo following the readme,2,talendesb
17982,19874,TESB-2389,deployment of zookeeper server and servicelocator proxy service into one tesb runtime osgi container,as an administrator i want to run the zookeeper server and the proxy service colocated in one container provide a karaf feature to install zookeeper server and proxy service in one container test it document in the runtime configuration guide how to install configure and run zookeeper server and proxy service in one container,5,talendesb
17985,19877,TESB-2404,support for https based endpoints in the service locator,as an admin i want to enable https secured services to register with the service locator test if it works out of the box if no enhance it if changes have to be made ensure documentation is up to date open question is there a mixed mode possible,2,talendesb
17986,19878,TESB-2496,open wsdl editor for editing service entries,as a service developer i would like to edit service description using wsdl editor so that i could edit my service operations schema and endpoint information assumptions eclipse 36,1,talendesb
17987,19879,TESB-2498,export service and route as osgi bundle,as a data service developer i would like to export service and all associated jobs with the server as a set of osgi bundles so that i could deploy them to my talend esb runtime assumptions we need to match the bundle expectations defined by runtime team current assumption is we will export one bundle per job for each operation in the service we will export additional bundle with wsdl and springblueprint descriptors we will export a feature xml file that refer to the bundles described above,5,talendesb
17993,19889,TESB-2684,backport db2 for sam to 421,as an operator i want to use ibm db2 dbms for sam server already with 421 backport db2 support from 50 to 421 see tesb2219 primary version for testing db2 udb 91 seconday supported version db2 97 test os is linux,1,talendesb
17994,19890,TESB-2685,use new 242 cxf and camel 273 version in tesb 421,as a developer i want to able to use the latest security enhancements in cxf already for 421 change the versions in the build there will also be corresponding tsf 242 and tif 273 to be inclded in the build test tesb 421 with the new versions,2,talendesb
17996,19892,TESB-2687,jobserver runnable within karaf,as an admin i want to have one unified platform that also includes the jobserver current jobserver is a stand alone application make it running within karaf ensure the server still runs as a stand alone application still to be decided where are the sources located which build system is used provide automated or semi automated tests that may be executed for the stand alone case and jobserver running in karaf,3,talendesb
17997,19893,TESB-2688,include jobserver bundles into talend runtime during build assembly,as admin i want to have the jobserver out of the box in the talend runtime include jobserver in the talend runtime in the enterprise release package make sure all thirparties are mentioned in the notice file and the corresponding licenses are included if there are thirdparties not used in se create a ee specific notice file,2,talendesb
17998,19894,TESB-2689,make jobserver configuration config admin service aware,as admin i want to configure the jobserver in karaf like the other karaf components via the config admin service a properties file equivalent to them found under conftalendjobserverproperties should be available under conf in the container make sure the way to configure stand alone jobserver still works documentation is not part of this feature,2,talendesb
17999,19895,TESB-2690,howto for remote provisioning to a talend runtime,as an admin i want to install and start services data services and routes in tac like i can do it for jobs for this tac needs a remote api to install uninstall bundles and to start stop the different kind of applications the api will consist of the jmx api provided by karaf the howto shall describe for each kind of application the commands to use for install uninstall start stop also describe how to connect o the karaf mbean server to illustrate the usage of the api provide code snippets and also provide a small sample application that demonstrates how to use it assume the necessary bundles are already deployed to an obr featuresxml and othe artifacts are in a maven repository the audience of the document are primarily tac developers the document should be created in the talend wiki,5,talendesb
18011,19909,TESB-2966,karaf command to stop a route,as admin i just want to be able to stop a route without having to shutdown karaf route camelcontext should also stop when corresponding bundle stops this might include to extend the job api,3,talendesb
